"Response ID";"Date submitted";"Last page";"Start language";"Seed";"Date started";"Date last action";"IP address";"Enter your iCode student ID:";"Upload your file here.";"filecount - Upload your file here.";"Total time";"Group time: Submission Via Upload";"Question time: q00a";"Question time: q00"
"1";"2018-09-12 18:11:23";"1";"en";"847282477";"2018-09-12 18:10:30";"2018-09-12 18:11:23";"192.168.1.6";"gi45";"[{ ""title"":"""",""comment"":"""",""size"":""0.094"",""name"":""00_deepthough.py"",""filename"":""fu_x4mcn6abaixvtpv"",""ext"":""py"" }]";"1";"53.84";"53.84";"";""
"2";"2018-09-12 19:40:10";"1";"en";"1343134733";"2018-09-12 19:37:45";"2018-09-12 19:40:10";"192.168.1.6";"gi45";"[{ ""title"":"""",""comment"":"""",""size"":""0.094"",""name"":""00_deepthought.py"",""filename"":""fu_gfi85gf7bpghmrg"",""ext"":""py"" }]";"1";"145.3";"145.3";"";""
"3";"2018-09-13 11:51:07";"1";"en";"421478474";"2018-09-13 11:50:21";"2018-09-13 11:51:07";"192.168.1.9";"DT86";"[{ ""title"":"""",""comment"":"""",""size"":""0.093"",""name"":""00_deepthought.py"",""filename"":""fu_2cxgywrqccizu24"",""ext"":""py"" }]";"1";"46.18";"46.18";"";""
"4";"2018-09-13 12:26:51";"1";"en";"1745703633";"2018-09-13 11:52:27";"2018-09-13 12:26:51";"192.168.1.12";"";"[{ ""title"":""00_deepthought.py coding"",""comment"":"""",""size"":""0.095"",""name"":""00_deepthought.py"",""filename"":""fu_tz2kx629byczj2y"",""ext"":""py"" }]";"1";"2064.93";"2064.93";"";""
"5";"2018-09-13 13:39:46";"1";"en";"1425309861";"2018-09-13 13:36:33";"2018-09-13 13:39:46";"192.168.1.2";"";"[{ ""title"":""Mad Libs (So Long)"",""comment"":""(Funny)"",""size"":""1.011"",""name"":""Interactive.py"",""filename"":""fu_r8vpx783yufv4qv"",""ext"":""py"" }]";"1";"193.93";"193.93";"";""
"6";"2018-09-13 16:16:00";"1";"en";"1741487462";"2018-09-13 16:15:31";"2018-09-13 16:16:00";"192.168.1.12";"CA05";"[{ ""title"":""Day 0"",""comment"":"""",""size"":""0.095"",""name"":""00_deepthought.py"",""filename"":""fu_tte9nja3enydtvt"",""ext"":""py"" }]";"1";"29.63";"29.63";"";""
"7";"2018-09-13 16:56:16";"1";"en";"1388376515";"2018-09-13 16:55:35";"2018-09-13 16:56:16";"192.168.1.3";"JH06
";"[{ ""title"":""DeepThought"",""comment"":"""",""size"":""0.093"",""name"":""00_deepthought.py"",""filename"":""fu_88hxf9tqnsvhtac"",""ext"":""py"" }]";"1";"41.53";"41.53";"";""
"8";"2018-09-13 19:40:18";"1";"en";"1940684684";"2018-09-13 19:38:49";"2018-09-13 19:40:18";"192.168.1.9";"mg10";"[{ ""title"":""A-1"",""comment"":"""",""size"":""0.093"",""name"":""00_deepthought.py"",""filename"":""fu_77vxns6zi5ishb7"",""ext"":""py"" }]";"1";"89.52";"89.52";"";""
"9";"2018-09-13 20:04:23";"1";"en";"1969287189";"2018-09-13 19:58:31";"2018-09-13 20:04:23";"192.168.1.11";"eg06";"[{ ""title"":"""",""comment"":"""",""size"":""0.092"",""name"":""stack_overflow.py"",""filename"":""fu_drb6qkc6bkwys7y"",""ext"":""py"" }]";"1";"352.47";"352.47";"";""
"10";"2018-09-17 18:49:33";"1";"en";"1114607399";"2018-09-17 18:48:06";"2018-09-17 18:49:33";"192.168.1.13";"jS07";"[{ ""title"":"""",""comment"":"""",""size"":""0.092"",""name"":""00_deepthought.py"",""filename"":""fu_kqwhmiauxgwk3tc"",""ext"":""py"" }]";"1";"87.96";"87.96";"";""
